site,type,bipolar,max_length,max_width,max_thickness,mass
sehonghong,flake,freehand,4.56,4.76,0.97,0.03
sehonghong,flake,freehand,21.17,16.4,4.41,1.16
sehonghong,flake,freehand,14.48,8.48,4.23,0.54
sehonghong,flake,freehand,11.36,7.36,1.41,0.11
klipfonteinrand,core,freehand,20.5,19.3,8.6,4.9
klipfonteinrand,flake,freehand,14.4,7.2,2.5,0.1
sehonghong,flake,bipolar,10.43,3.53,2.16,0.06
sehonghong,flake,bipolar,9.61,3.11,2.09,0.07
klipfonteinrand,flake,freehand,19.8,15.3,6.9,1.7
sehonghong,flake,freehand,41.83,17.4,8.1,4.38
sehonghong,flake,freehand,19.66,17.93,10.27,3.03
sehonghong,flake,freehand,15.45,25.17,5.49,1.85
sehonghong,flake,freehand,16.17,9.85,2.36,0.42
sehonghong,flake,freehand,13.34,20.12,3,1.04
sehonghong,flake,freehand,10.1,6.65,0.85,0.07
sehonghong,flake,freehand,24.13,15.53,6.63,2.82
sehonghong,flake,bipolar,11.81,8.53,4.18,0.37
sehonghong,flake,freehand,10.1,6.64,2.52,0.18
klipfonteinrand,flake,freehand,13,10,6,0.8
sehonghong,flake,bipolar,22.65,33.75,6.79,4.57
sehonghong,flake,freehand,12.17,11.92,2.14,0.37
sehonghong,flake,freehand,14.85,8.73,4.1,0.42
sehonghong,flake,freehand,21.67,19.1,4.74,1.84
sehonghong,flake,freehand,18.44,19.84,5.81,1.23
sehonghong,flake,freehand,14.63,12.91,3.66,0.62
klipfonteinrand,flake,freehand,19.7,9.3,2.9,0.1
klipfonteinrand,flake,freehand,15.8,9.6,2,0.1
klipfonteinrand,flake,freehand,14.9,10.9,3.4,0.1
klipfonteinrand,flake,freehand,12.2,8.1,2.1,0.1
klipfonteinrand,flake,bipolar,13.4,6.3,3.1,0.1
klipfonteinrand,flake,bipolar,10.5,4.4,2,0.01
klipfonteinrand,flake,freehand,14.1,8.2,3.7,0.1
klipfonteinrand,flake,freehand,8.6,8.1,3.6,0.05
klipfonteinrand,flake,freehand,9.4,6.4,1.5,0.01
klipfonteinrand,flake,freehand,10.1,8.2,3,0.1
klipfonteinrand,flake,freehand,17,10.8,3.7,0.7
klipfonteinrand,flake,freehand,12.3,7,2.1,0.05
klipfonteinrand,flake,bipolar,14.6,4.1,2.9,0.05
klipfonteinrand,flake,freehand,10,7.4,1.9,0.05
klipfonteinrand,flake,freehand,11.3,9.6,4.2,0.05
klipfonteinrand,flake,freehand,10.3,7.4,2.7,0.01
klipfonteinrand,flake,freehand,8.9,5.7,2.5,0.05
klipfonteinrand,flake,freehand,7.1,4.2,1.4,0.01
sehonghong,flake,bipolar,18.57,12.99,4.95,0.95
klipfonteinrand,flake,freehand,8.1,7.2,2.5,0.1
klipfonteinrand,flake,freehand,6.9,5.8,2.1,0.01
klipfonteinrand,flake,freehand,8.4,5,1.1,0.01
klipfonteinrand,flake,freehand,7.1,5.1,1.5,0.01
sehonghong,flake,bipolar,13.29,6.05,2.06,0.22
sehonghong,flake,bipolar,8.92,8.33,2.69,0.21
klipfonteinrand,flake,freehand,23.5,16.4,5.9,2.3
klipfonteinrand,flake,freehand,16.5,5.6,3.1,0.1
sehonghong,flake,freehand,8.03,8.95,2.64,0.16
sehonghong,flake,freehand,8.36,6.18,0.94,0.03
klipfonteinrand,flake,bipolar,15.7,6.5,4.3,0.1
sehonghong,flake,freehand,9.9,5.4,1.12,0.05
sehonghong,flake,bipolar,9.79,4.98,1.42,0.05
sehonghong,flake,freehand,8.11,7.35,1.39,1.82
sehonghong,flake,freehand,8.75,5.29,1.49,0.06
klipfonteinrand,flake,freehand,12.2,4.7,2.6,0.03
klipfonteinrand,flake,freehand,10.1,9.1,2.9,0.05
sehonghong,flake,freehand,11.21,5.48,0.99,0.06
klipfonteinrand,flake,freehand,10.3,7.6,2.9,0.05
sehonghong,flake,freehand,8.27,10.66,1.3,0.09
klipfonteinrand,flake,freehand,13.3,11.6,4.1,0.1
sehonghong,flake,freehand,6.78,9.1,0.93,0.04
klipfonteinrand,flake,freehand,12.6,7.1,2.5,0.05
sehonghong,flake,freehand,8.84,8.42,1.18,0.09
klipfonteinrand,flake,freehand,10.9,7.1,2.4,0.01
sehonghong,flake,freehand,9.2,5.55,1.35,0.06
klipfonteinrand,flake,freehand,10.2,7.1,1.6,0.05
sehonghong,flake,bipolar,5.74,4.19,1.74,0.05
sehonghong,flake,freehand,9.7,4.89,1.76,0.06
klipfonteinrand,flake,freehand,13,7.5,2.8,0.1
klipfonteinrand,core,bipolar,33.6,24.2,16,12.1
klipfonteinrand,flake,freehand,15.4,14.1,3.8,0.1
klipfonteinrand,flake,bipolar,19.3,8.4,2.5,0.1
sehonghong,flake,freehand,9,8.05,2.25,0.17
klipfonteinrand,flake,freehand,27.1,15.5,6.5,2.4
klipfonteinrand,flake,freehand,13,9.1,2.5,0.1
sehonghong,flake,freehand,7.9,4.44,1.7,0.06
sehonghong,flake,freehand,8.39,5.5,1.97,0.08
klipfonteinrand,core,freehand,25.4,23.2,12.1,6.3
klipfonteinrand,flake,bipolar,13.6,6.1,2.8,0.1
sehonghong,flake,freehand,6.38,6.61,1.32,0.06
klipfonteinrand,flake,freehand,18.5,12,2.9,0.7
klipfonteinrand,flake,freehand,13.7,7.4,2.4,0.1
klipfonteinrand,flake,freehand,20.7,12.8,7.4,1
sehonghong,flake,freehand,11.59,5.86,2.51,0.19
sehonghong,flake,freehand,11.29,13.83,2.07,0.24
sehonghong,flake,bipolar,12.3,10.47,4.38,0.38
sehonghong,flake,bipolar,22.72,6.31,4.4,0.7
sehonghong,flake,freehand,11.25,8.06,3.8,0.36
sehonghong,flake,bipolar,12.91,5.28,1.3,0.1
sehonghong,flake,bipolar,7.32,5.89,2.28,0.12
klipfonteinrand,core,freehand,42.9,27.7,21.7,18.4
sehonghong,flake,bipolar,7.09,3.46,1.44,0.05
sehonghong,flake,bipolar,6.15,6.65,2.76,0.08
klipfonteinrand,flake,freehand,15,7.2,1.7,0.1
klipfonteinrand,flake,freehand,22.7,12.4,5.5,1.1
sehonghong,flake,bipolar,11.41,8.03,3.65,0.44
sehonghong,flake,freehand,10.08,5.61,1.33,0.05
sehonghong,flake,freehand,10.03,5.78,1.54,0.1
klipfonteinrand,flake,bipolar,9.3,7.4,2,0.1
sehonghong,flake,freehand,9.56,5.56,2.53,0.15
klipfonteinrand,flake,freehand,14.1,7.3,3,0.1
sehonghong,flake,freehand,9.1,7.17,0.83,0.06
klipfonteinrand,flake,freehand,7.3,6.1,2.3,0.05
sehonghong,flake,freehand,32.62,31.27,11.85,10.77
klipfonteinrand,flake,freehand,6.8,3.2,1.3,0.05
sehonghong,flake,bipolar,18.65,22.49,8.67,2.52
klipfonteinrand,flake,bipolar,6.2,4,2.3,0.05
sehonghong,flake,freehand,11.9,14.18,2.27,0.29
sehonghong,flake,freehand,25.16,14.84,6.84,1.97
sehonghong,flake,freehand,20.07,20.49,4.06,1.16
sehonghong,flake,freehand,19.53,11.91,3.85,0.67
klipfonteinrand,flake,freehand,17.5,14.1,6.9,1.5
klipfonteinrand,flake,freehand,17.3,14.5,3.8,0.8
klipfonteinrand,flake,freehand,20.1,18.2,3.1,1.2
klipfonteinrand,flake,freehand,20.7,10.1,5,1
klipfonteinrand,flake,freehand,20.2,6.4,5.5,0.5
klipfonteinrand,flake,bipolar,18.1,7.5,3.9,0.1
klipfonteinrand,flake,freehand,15.7,8.8,5.9,0.7
klipfonteinrand,flake,freehand,12.3,8.6,4,0.1
klipfonteinrand,flake,bipolar,11.5,6.2,3,0.5
klipfonteinrand,flake,freehand,9,7.4,3.2,0.05
klipfonteinrand,core,bipolar,11.6,5.9,5.6,0.1
klipfonteinrand,flake,freehand,13.7,7.9,6.1,0.1
klipfonteinrand,flake,freehand,14.1,9.5,4.3,0.1
klipfonteinrand,flake,freehand,11.3,6.2,3,0.05
klipfonteinrand,flake,freehand,7.4,4.7,2.9,0.01
klipfonteinrand,flake,freehand,8.4,5.1,2.3,0.01
klipfonteinrand,flake,freehand,7.8,7.1,3.5,0.05
klipfonteinrand,flake,freehand,5.8,5.1,1.3,0.01
klipfonteinrand,flake,freehand,10.2,3.8,1.7,0.01
klipfonteinrand,flake,freehand,7.5,5.5,0.7,0.01
klipfonteinrand,flake,freehand,6.7,4.7,1.8,0.01
klipfonteinrand,flake,freehand,5.7,4.5,1.2,0.01
klipfonteinrand,flake,bipolar,6.6,3.3,1.6,0.01
sehonghong,flake,bipolar,8.69,4.36,3.18,0.12
klipfonteinrand,flake,freehand,8.1,4.8,2,0.01
klipfonteinrand,flake,freehand,6.3,5.6,0.8,0.01
klipfonteinrand,flake,bipolar,10.7,4.5,2.5,0.01
klipfonteinrand,flake,freehand,8.5,3.4,2.9,0.01
sehonghong,flake,bipolar,12.49,8.92,6.46,0.72
klipfonteinrand,flake,freehand,9.5,5.8,2.2,0.05
klipfonteinrand,flake,freehand,8.6,6.3,2.8,0.01
klipfonteinrand,flake,freehand,11.4,5.9,3.6,0.01
klipfonteinrand,flake,freehand,7.5,6.1,1.9,0.01
klipfonteinrand,flake,freehand,5.9,5.9,1.8,0.01
sehonghong,flake,freehand,25.76,21.44,6.35,2.49
klipfonteinrand,flake,freehand,6.7,5.6,1.8,0.01
sehonghong,flake,freehand,33.18,37.28,7.81,8.89
klipfonteinrand,flake,freehand,15.9,7.5,3.8,0.4
sehonghong,flake,freehand,19.89,19.89,6.03,2.92
klipfonteinrand,flake,freehand,11.2,10.6,3.9,0.1
sehonghong,flake,freehand,20.55,16.83,3.23,0.9
sehonghong,flake,freehand,30.33,16.05,4.43,2.32
sehonghong,flake,freehand,28.25,23.17,7.36,4.05
klipfonteinrand,flake,freehand,10.4,6.5,2.4,0.05
sehonghong,flake,freehand,26.67,17.76,6.12,3.08
sehonghong,flake,freehand,26.12,28.54,4.28,2.51
sehonghong,flake,freehand,18.57,18.88,10.48,3.73
sehonghong,flake,freehand,20.1,24.63,6.55,2.93
sehonghong,flake,freehand,16.73,5.23,1.78,0.15
sehonghong,flake,freehand,34.5,12.63,3.93,1.65
sehonghong,flake,freehand,17.21,3.97,1.2,0.11
klipfonteinrand,core,freehand,20,19.3,9,3.7
klipfonteinrand,flake,freehand,16,7.6,2.8,0.4
sehonghong,flake,freehand,13.39,7.6,1.87,0.18
sehonghong,flake,freehand,20.97,8.07,1.98,0.39
sehonghong,flake,freehand,11.77,4.23,1.41,0.06
sehonghong,flake,freehand,19.1,6.9,1.68,0.36
sehonghong,flake,freehand,18.16,4.79,2.16,0.16
sehonghong,flake,freehand,16.12,5.76,1.44,0.11
sehonghong,flake,freehand,14.41,4.59,1.92,0.08
sehonghong,flake,freehand,15.93,4.37,1.78,0.11
sehonghong,flake,freehand,12.52,5.36,0.96,0.07
sehonghong,flake,freehand,12.66,7.61,2.3,0.23
klipfonteinrand,flake,freehand,18.8,19.2,4.4,1.5
sehonghong,flake,freehand,13.76,6.23,2.44,0.15
sehonghong,flake,freehand,13.88,6.66,1.16,0.15
sehonghong,flake,freehand,13.84,5.2,1.64,0.12
sehonghong,flake,freehand,16.82,7.35,1.54,0.25
sehonghong,flake,freehand,10.54,5.25,0.93,0.05
sehonghong,flake,freehand,24.47,8.54,3.22,0.5
klipfonteinrand,core,freehand,20.9,13.4,9,2.2
klipfonteinrand,flake,freehand,17.9,12,5,0.8
klipfonteinrand,flake,freehand,21.7,13.5,5.5,1.7
sehonghong,flake,freehand,17.46,8.47,1.87,0.32
sehonghong,flake,freehand,25.66,12.25,2.7,0.69
klipfonteinrand,flake,freehand,14.3,7.6,4,0.1
sehonghong,flake,freehand,22.84,8.61,2.5,0.6
sehonghong,flake,bipolar,21.17,9.56,3.62,0.8
sehonghong,flake,freehand,16.8,6.98,2.12,0.21
sehonghong,flake,freehand,16.61,4.16,1.47,0.12
sehonghong,flake,freehand,21.88,11.81,3.09,0.75
klipfonteinrand,flake,freehand,10.5,7.7,4.4,0.1
klipfonteinrand,flake,freehand,8.6,5.6,1,0.01
klipfonteinrand,flake,freehand,9.9,5.1,1.7,0.01
sehonghong,flake,freehand,28.59,5.51,3.69,0.51
sehonghong,flake,freehand,28.12,4.89,3.16,0.48
sehonghong,flake,freehand,50.81,17.65,7.58,5.25
sehonghong,flake,freehand,25.4,9.6,6.68,1.57
sehonghong,flake,freehand,26.22,12.02,2.34,0.84
sehonghong,flake,freehand,23.32,8.72,6.74,1.16
sehonghong,flake,freehand,20.63,4.47,3.73,0.44
klipfonteinrand,flake,freehand,8.1,6.9,1.9,0.1
klipfonteinrand,flake,freehand,13.4,6.9,3.4,0.1
klipfonteinrand,flake,freehand,13.6,4.7,3.2,0.1
klipfonteinrand,flake,freehand,9.8,9,4.4,0.1
klipfonteinrand,flake,freehand,8,6.8,2.9,0.1
klipfonteinrand,flake,freehand,10.3,3.6,2,0.01
klipfonteinrand,flake,freehand,7.6,5.9,1.8,0.01
klipfonteinrand,flake,bipolar,9.3,5.3,1.5,0.01
klipfonteinrand,flake,freehand,9.8,6.4,1.5,0.01
klipfonteinrand,flake,freehand,10.9,4.7,2,0.01
klipfonteinrand,flake,bipolar,6.9,5.2,1.3,0.01
klipfonteinrand,flake,freehand,12.1,5.6,3.5,0.05
klipfonteinrand,flake,freehand,8.9,4.8,2.1,0.01
klipfonteinrand,flake,freehand,13.3,7.7,4.1,0.1
